experiment,step,total_steps,split,loss,train_time_ms,step_avg_ms
,,,train,,,
,{step},{args.num_iterations},val,{val_loss,,
,{step},{args.num_iterations},val,{val_loss,,
,,,train,,,
,{step+1},{args.num_iterations},train,{train_loss.item(),,
,{step+1},{args.num_iterations},train,{train_loss.item(),,
,247,5100,train,4.3468,260545,1099.35
,248,5100,train,4.4587,261639,1099.33
,249,5100,train,4.1944,262736,1099.32
,250,5100,train,4.3981,263835,1099.31
,250,5100,val,4.3555,263836,1099.32
,251,5100,train,4.3079,264936,1099.32
,252,5100,train,4.4834,266033,1099.31
,253,5100,train,4.3255,267127,1099.29
,254,5100,train,4.3385,268222,1099.27
,255,5100,train,4.3248,269316,1099.25
,256,5100,train,4.3887,270410,1099.23
,257,5100,train,4.2371,271508,1099.22
,258,5100,train,4.5049,272606,1099.22
,259,5100,train,4.2477,273705,1099.22
,260,5100,train,4.2418,274803,1099.21
,261,5100,train,4.5308,275905,1099.22
,262,5100,train,4.2931,276997,1099.19
,263,5100,train,4.3481,278096,1099.19
,264,5100,train,4.3332,279192,1099.18
,265,5100,train,4.2051,280292,1099.18
,266,5100,train,4.3807,281393,1099.19
,267,5100,train,4.2153,282496,1099.21
,268,5100,train,4.3447,283601,1099.23
,269,5100,train,4.4054,284696,1099.21
,270,5100,train,4.2502,285789,1099.19
,271,5100,train,4.2696,286886,1099.18
,272,5100,train,4.4293,287985,1099.18
,273,5100,train,4.2585,289082,1099.17
,274,5100,train,4.2033,290178,1099.16
,275,5100,train,4.2952,291272,1099.14
,276,5100,train,4.3949,292375,1099.15
